Title,Date,Views,Likes,Comments,Category,Duration,VideoID,Extracted,LTV,CTL,Diff
vin genyen nan 2boul Cho pou aswè a jodi 13 Novembre 2024 #lotto #boulcho #boulcholoto #culture,2024-11-13T21:43:31Z,63,0,0,FilmAnimation,0:05:26,ce_InQ9sDiY,2024-11-14T00:00:00Z,N/A,N/A,243
The Amateur | Official Trailer,2024-11-13T17:01:08Z,15297286,221943,9404,FilmAnimation,0:02:25,DCWcK4c-F8Q,2024-11-14T00:00:00Z,0.014508652057626432,0.04237123946238448,243
The Grinch’s Christmas Plan! 🎅🎁 | Dr. Seuss' the Grinch | Movie Moments | Mega Moments,2024-11-13T15:00:09Z,2961402,2745,0,FilmAnimation,0:04:15,6EeFqCSy7Sc,2024-11-14T00:00:00Z,0.0009269258276991776,0.0,243
Tom & Jerry 😺🐭| A Frienemy in Need! 🧀| Compilation | Cat and Mouse | Cartoon for Kids | @cnindia,2024-11-13T09:50:09Z,28789730,73759,N/A,FilmAnimation,1:02:04,s0VruXmA__k,2024-11-14T00:00:00Z,N/A,N/A,243
men 2boul Cho pou aswè a kouri all fè fich ou jodi 12 Novembre 2024 #lotto #boulcholotto,2024-11-12T21:44:42Z,15,0,0,FilmAnimation,0:05:50,YRAmzJ9i1SY,2024-11-14T00:00:00Z,N/A,N/A,244
"Not the chicken?! 😱Don't miss #Moana2, only in theaters November 27!",2024-11-12T17:01:04Z,483420,11675,0,FilmAnimation,0:00:30,v5Q2ddKBHIY,2024-11-14T00:00:00Z,0.02415084191800091,0.0,244
¡Juguemos a fingir con PAW Patrol! #shorts,2024-11-12T17:00:57Z,3244407,55365,0,FilmAnimation,0:01:00,w7OlfWYhrVU,2024-11-14T00:00:00Z,0.01706475174045673,0.0,244
La rutina de Peppa Pig a la hora de dormir | Peppa Pig en Español Episodios Completos,2024-11-12T17:00:38Z,2145002,3813,N/A,FilmAnimation,2:05:35,_70t4BK-LRc,2024-11-14T00:00:00Z,N/A,N/A,244
¿Cómo podemos ayudar a Huhu para que duerma? 😴🛌 #Momonsters #clan #tve,2024-11-12T16:30:11Z,58126805,754972,0,FilmAnimation,0:00:59,XVdjNmBgV-E,2024-11-14T00:00:00Z,0.012988362253868934,0.0,244
The adventure begins...Bluey’s World is officially open! 💙🧡 | Bluey,2024-11-12T02:24:07Z,3031553,39650,N/A,FilmAnimation,0:00:16,Em1R0m7Z2E4,2024-11-14T00:00:00Z,N/A,N/A,244
Jolly Gingerbread Cookies | Full Animated Family Christmas Movie | The Bumble Nums,2024-11-11T15:00:36Z,22721006,12323,0,FilmAnimation,0:16:25,YA36bHeOTVM,2024-11-14T00:00:00Z,0.0005423615486039659,0.0,245
Mission: Impossible – The Final Reckoning | Teaser Trailer (2025 Movie) - Tom Cruise,2024-11-11T14:00:07Z,27401295,372647,18422,FilmAnimation,0:02:01,NOhDyUmT9z0,2024-11-14T00:00:00Z,0.013599612719033899,0.049435524772774235,245
How the Grinch Stole Christmas - The Grinch Hates Christmas!,2024-11-11T14:00:53Z,662312,438,0,FilmAnimation,0:02:50,lNLe4svWH6g,2024-11-14T00:00:00Z,0.0006613197405452415,0.0,245
Shaun the Sheep 🐑 Farm Tech gone wrong - Cartoons for Kids 🐑 Full Episodes Compilation [1 hour],2024-11-11T12:00:23Z,2367751,7909,0,FilmAnimation,1:00:08,M8ppDTbaWfA,2024-11-14T00:00:00Z,0.003340300563699477,0.0,245
"Getting Ready for the Launch of Bluey's World in Brisbane, Australia! 💙 🌍 | Bluey",2024-11-11T10:45:20Z,13643514,214804,N/A,FilmAnimation,0:00:31,R3i7IkuPL3Q,2024-11-14T00:00:00Z,N/A,N/A,245
Right in the Target | Tom and Jerry | #shorts #cartoons #tomandjerry #kids,2024-11-11T10:00:03Z,894170,13993,0,FilmAnimation,0:00:53,26eF04-oduQ,2024-11-14T00:00:00Z,0.01564914949058904,0.0,245
A doctor’s insistence #movie #film #shorts #show #viralvideo,2024-11-11T06:38:49Z,4682,286,6,FilmAnimation,0:00:41,sgQcuobeFTU,2024-11-14T00:00:00Z,0.061085006407518155,0.02097902097902098,245
Vin fè lajan avèk aswè a jodia 10 Novembre 2024 la #lotto #boulcholotto #lo #culture #boulcho #music,2024-11-10T20:30:30Z,31,0,0,FilmAnimation,0:05:11,ZZ5qhc81J_E,2024-11-14T00:00:00Z,N/A,N/A,246
Seconde Guerre Mondiale | The Russian Officer | John Malkovich (Film complet en français),2024-11-10T20:00:10Z,2323192,13990,907,FilmAnimation,1:47:03,EFEQSJ78Fdo,2024-11-14T00:00:00Z,0.006021887127710495,0.06483202287348105,246
A Aventura Congelante de Elsa e o Cristal do Ártico,2024-11-10T18:55:20Z,1418,6,0,FilmAnimation,0:04:43,Vq4CvNTJgyw,2024-11-14T00:00:00Z,0.004231311706629055,0.0,246
stewie has a birthday party || Family Guy Recap #familyguy #animatedshorts  #shorts,2024-11-10T18:11:33Z,180,12,0,FilmAnimation,0:00:45,ntjen-q5bHs,2024-11-14T00:00:00Z,0.06666666666666667,0.0,246
"Babies, Minions and Bubble Gum: A DESPICABLE SUPERCUT (Best Scenes) ⚡ 4K",2024-11-10T14:00:01Z,4227867,9318,0,FilmAnimation,0:29:08,1NA4seng3Bw,2024-11-14T00:00:00Z,0.0022039482320517652,0.0,246
We all need a friend like Socqueline! #miraculous  #miraculousladybug  #mlbs5  #derision,2024-11-10T13:00:55Z,1191315,42226,0,FilmAnimation,0:00:42,ozGcf6sM1H8,2024-11-14T00:00:00Z,0.035444865547735065,0.0,246
Mafia et Crime organisé: Quand Naples tombe aux mains d'ados violents - Enquête Mafia Italienne KM,2024-11-10T12:30:06Z,1062336,7070,376,FilmAnimation,0:51:10,8Q5Ak_cnraA,2024-11-14T00:00:00Z,0.0066551448882462795,0.053182461103253184,246
The Thermos | The Fixies | Cartoons for kids | Learning videos,2024-11-10T11:00:10Z,1492765,1995,0,FilmAnimation,0:41:33,Bp6StdH1Iww,2024-11-14T00:00:00Z,0.0013364461251436093,0.0,246
Bicongo a la maca,2024-11-10T10:24:23Z,428,3,4,FilmAnimation,0:01:27,-E_3yuNS7n8,2024-11-14T00:00:00Z,0.007009345794392523,1.3333333333333333,246
Behind the Scenes: Inside a virtual movie production set with DJI Ronin 2 🎬 @thecinemajunkies,2024-11-10T08:45:01Z,111057889,1031451,1019,FilmAnimation,0:00:20,db6gAI_vLSE,2024-11-14T00:00:00Z,0.0092875077069041,0.0009879286558450184,246
Madame Balthazar a Un comportment de kpô ….,2024-11-09T23:23:11Z,70,0,0,FilmAnimation,0:01:34,D-ji5Fj9Zh0,2024-11-14T00:00:00Z,N/A,N/A,247
Paw Patrol | ¡Rubble y PAW Patrol van a pedir dulce o truco! con Skye y Chase | 1 hora | Nick Jr.,2024-11-09T17:01:00Z,19187101,45041,0,FilmAnimation,1:00:09,uXs9_n2FtUo,2024-11-14T00:00:00Z,0.002347462495767339,0.0,247
Do the Spidey | Marvel's Spidey and his Amazing Friends | Disney Jr. Live on Tour | @disneyjr,2024-11-09T14:45:02Z,6218318,783,0,FilmAnimation,0:01:22,Nc2zWSPzd4c,2024-11-14T00:00:00Z,0.00012591829494728316,0.0,247
Dança da Imitação com a Turminha! 🎶 Copie Todos os Movimentos! 🕺🐾#infantil #aprenderbrincando,2024-11-09T14:00:02Z,9962451,119987,0,FilmAnimation,0:00:14,ad1pyuZRdPM,2024-11-14T00:00:00Z,0.012043923729210813,0.0,247
Rubble & a Patrulha Canina Saem por Doces ou Travessuras! com Skye & Chase | 1 Hora | Nick Jr.,2024-11-09T13:01:09Z,6687992,15824,0,FilmAnimation,1:00:09,y30AzXLHUu0,2024-11-14T00:00:00Z,0.002366031538315237,0.0,247
Dog Show - An Actual Short,2024-11-09T13:00:09Z,14065372,917183,4304,FilmAnimation,0:00:53,7p579TYx46c,2024-11-14T00:00:00Z,0.06520858460053527,0.004692629497057839,247
George is a Space Monkey! #shorts,2024-11-09T12:00:45Z,318420,4522,0,FilmAnimation,0:00:34,bFzBoqu6Hu8,2024-11-14T00:00:00Z,0.014201369260724829,0.0,247
A Christmas Dream | 2024 Christmas Movie | Exclusive Hallmark Movie | Lorenzo Pozzan,2024-11-09T11:00:12Z,837944,3505,181,FilmAnimation,1:34:16,7ktREoLFzuE,2024-11-14T00:00:00Z,0.004182857088301843,0.05164051355206847,247
Banda A Loba - Te Esperando Aqui ( Clipe Oficial),2024-11-08T21:00:08Z,5553266,40250,884,FilmAnimation,0:02:51,xWHCKTY8yas,2024-11-14T00:00:00Z,0.007247987040419098,0.021962732919254657,248
"How an FBI ""Scam"" Caught 7 Congressmen",2024-11-08T16:30:01Z,2348482,56503,2225,FilmAnimation,0:24:51,8bmMEZIj270,2024-11-14T00:00:00Z,0.02405937111717271,0.03937844008282746,248
The Ultimate “Inside Out 2” Recap Cartoon,2024-11-08T16:00:56Z,6168259,112902,4061,FilmAnimation,0:04:59,xfNaAsSvjUA,2024-11-14T00:00:00Z,0.01830370611869573,0.03596924766611752,248
Conheça o Conde Mickula | A Casa do Mickey Mouse,2024-11-08T15:26:20Z,743225,18411,0,FilmAnimation,0:00:29,0iS4lQKMbGE,2024-11-14T00:00:00Z,0.024771771670759193,0.0,248
Drifting a Sim is ALOT Harder than Real Life….,2024-11-13T19:53:35Z,1253,48,2,AutosVehicles,0:00:46,8nW_GPoJdDE,2024-11-14T00:00:00Z,0.03830806065442937,0.041666666666666664,243
Lamborghini Revuelto Opera Unica: The Ultimate Hybrid Masterpiece Unveiled in Shanghai,2024-11-13T14:15:01Z,172,7,0,AutosVehicles,0:00:58,G9XHw2E_Sno,2024-11-14T00:00:00Z,0.040697674418604654,0.0,243
